orig.ident	nCount_RNA	nFeature_RNA	n_genes	percent_mito	n_counts	louvain	percent.mt	RNA_snn_res.1	seurat_clusters
SeuratProject	773.691173791885	739	779	0.0301777590066195	2419	CD4 T cells	2.37443680729832	7	7
SeuratProject	1085.43955409527	1078	1129	0.00889736227691174	3147	CD4 T cells	1.06775974964397	0	0
SeuratProject	488.305205106735	503	532	0.0117647061124444	1275	CD4 T cells	1.48931414119222	4	4
SeuratProject	738.699693083763	705	747	0.0108877718448639	2388	CD4 T cells	1.3689089848404	0	0
SeuratProject	834.745452284813	815	864	0.0107883820310235	2410	CD4 T cells	1.42573824618431	0	0
SeuratProject	326.534892439842	323	335	0.023989899083972	792	CD4 T cells	2.95206493971512	1	1
SeuratProject	961.331728339195	955	1013	0.0170765034854412	2928	CD4 T cells	1.44595664200748	0	0
SeuratProject	412.31919670105	404	417	0.0154264969751239	1102	CD4 T cells	1.83656331077769	1	1
SeuratProject	500.068027496338	482	508	0.0198300275951624	1412	CD4 T cells	2.15709141322195	1	1
SeuratProject	824.445239067078	774	823	0.0225000008940697	2800	CD4 T cells	1.86594886693022	7	7
SeuratProject	1540.46560704708	1426	1541	0.0243128966540098	5676	CD4 T cells	1.56146274345447	1	1
SeuratProject	993.878478765488	937	996	0.0175640657544136	3473	CD4 T cells	1.77291009194777	1	1
SeuratProject	939.361766695976	900	936	0.0184987541288137	2811	CD4 T cells	1.72220199391068	0	0
SeuratProject	707.919615387917	745	785	0.00625000009313226	1760	CD4 T cells	0.774189450572332	0	0
SeuratProject	776.166020035744	709	749	0.0222627744078636	2740	CD4 T cells	2.26435387663561	0	0
SeuratProject	868.3218511343	826	873	0.0248488914221525	2978	CD4 T cells	2.08931357874122	7	7
SeuratProject	706.286492586136	682	731	0.0142332417890429	2178	CD4 T cells	1.54219077143655	1	1
SeuratProject	857.374441623688	839	877	0.0171130951493979	2688	CD4 T cells	1.59432420062012	1	1
SeuratProject	752.142295122147	741	782	0.0299429651349783	2104	CD4 T cells	2.52487291130145	1	1
SeuratProject	726.539256572723	745	785	0.00889382977038622	1799	CD4 T cells	1.02605880588753	0	0
SeuratProject	787.89625453949	752	788	0.0102700646966696	2629	CD4 T cells	1.41434858282276	1	1
SeuratProject	805.025071144104	759	800	0.0241327304393053	2652	CD4 T cells	2.10111733694412	7	7
SeuratProject	741.230483055115	717	756	0.01109688449651	2343	CD4 T cells	1.37977444046808	1	1
